epoch,loss,r2,val_loss,val_r2
1.0,186223868.39252338,-0.8755066776973972,86461626.14814815,0.28486525003532015
2.0,57780171.705607474,0.400872616121594,40390458.03703704,0.6636306182412463
3.0,41136748.44626168,0.5915861425228692,33249095.592592593,0.7354795933548363
4.0,39950143.042056076,0.5601369658067117,31720211.89814815,0.6487285969349942
5.0,38953345.07126168,0.6068108300297277,31355476.35185185,0.6924592365335206
6.0,39609009.06542056,0.6079730213577531,31810652.296296295,0.7258137890825371
7.0,39051430.36214953,0.5384349044537041,33594616.666666664,0.5810184705260552
8.0,39105379.705607474,0.5976156398026652,30075572.537037037,0.6812867985744968
9.0,37372555.408878505,0.5722356634088339,30751882.685185187,0.6266541392602049
10.0,36786784.593457945,0.5853633986233989,29510715.675925925,0.6981143884687158
11.0,35758710.25,0.6038259285415651,28532406.314814813,0.7057871389453857
12.0,34396107.26518691,0.6475865493537456,27220417.62962963,0.6975923001079748
13.0,32388320.519859813,0.6472164803538752,26436413.01851852,0.7477446652737305
14.0,31298087.59228972,0.6507573022006765,25177970.26851852,0.7564694418578226
15.0,29878080.794392522,0.6181104373679408,24200627.574074075,0.7508780549836274
16.0,28708819.533878505,0.6973867002175268,23187134.777777776,0.7138498407247122
17.0,29327103.49707944,0.697508981752965,22228310.185185187,0.7659591968763771
18.0,27318341.77686916,0.6943926212017701,22796808.78935185,0.802318068049078
19.0,26357225.172897197,0.7050366216616514,22794370.689814813,0.7815232523371084
20.0,26476983.767815422,0.714447782714758,19777205.412037037,0.8304023980899401
21.0,25936903.30140187,0.7324562560593775,25941072.37037037,0.7137279490371466
22.0,26551002.0073014,0.7170025698476015,23504805.618055556,0.808404593081544
23.0,26405710.173481308,0.7490390998340757,19752914.833333332,0.7877870381932893
24.0,24870184.00233645,0.7500248450786654,20320520.666666668,0.8066287358077896
25.0,25492268.53037383,0.7368497938085842,20952549.222222224,0.8023316839692496
26.0,25639082.764018692,0.7557600925399028,22911608.703703705,0.7562337992763042
27.0,25375915.27628505,0.7223630530207045,19398383.560185187,0.7950572009751187
28.0,25656893.662383176,0.7565176510425006,23188586.462962963,0.6975778102327569
29.0,25754589.233644858,0.7430220122943114,19896449.277777776,0.7576533860968069
30.0,25051231.68457944,0.7477229467449764,18865094.532407407,0.7802959046911021
31.0,25531519.850175235,0.754266045401331,23117951.75289352,0.7329335674173462
32.0,25364845.171728972,0.7448918318423169,20700970.111111112,0.7887850278134932
33.0,25425949.44421729,0.7159378982387247,23326072.421296295,0.8232650034853461
34.0,24888985.67932243,0.7323397001895539,18851762.087962963,0.8258805420129876
35.0,24915967.45911215,0.7535163838383087,18946287.092592593,0.8186496652418895
36.0,24869954.56834112,0.7514632024894929,21823831.296296295,0.7327308490533794
37.0,25265724.931074765,0.7471141480705026,19648188.916666668,0.7985178376342972
38.0,26452613.08878505,0.7349198541297018,19555157.953703705,0.8064087373802293
39.0,25220805.814252336,0.7458092504360245,19770458.12962963,0.7948683665568801
40.0,25124671.40537383,0.7538025642063475,22696204.814814813,0.7777823800772303
41.0,25391570.554614484,0.7367003778588214,19678515.89814815,0.7680462857632945
42.0,25206579.016355142,0.7413293278177082,19608491.430555556,0.8215275795471525
43.0,25532486.729264017,0.762342686249259,19433041.680555556,0.8176728272210751
44.0,25577395.009929907,0.7610152171050133,19463922.64814815,0.7809991257014531
45.0,24461649.626168225,0.7431463280872324,23454806.759259257,0.739182710841388
46.0,24690114.21728972,0.7302727425960827,20112961.074074075,0.7933237025686238
47.0,25534817.324182242,0.744306959698823,19008735.407407407,0.787038938712539
48.0,25030663.673481308,0.7488863841426384,23412164.990740743,0.7760611712555187
49.0,25570125.946845796,0.7328570646654046,19275281.324074075,0.7493932162895114
50.0,25146377.236857478,0.7346421098670226,20541255.944444444,0.7726142742627488
51.0,24886513.34170561,0.7402834492379019,19110069.85185185,0.8165688569873119
52.0,25037167.230724297,0.7535345424021128,19694781.712962963,0.8095378744603386
53.0,25139672.997371495,0.736421782332565,19221425.564814813,0.7454595133542455
54.0,25487009.554614484,0.7331264657316788,21092284.49537037,0.8062093763484506
55.0,25153553.783878505,0.7499545119173816,20191162.342592593,0.7971898976089152
56.0,25130405.821845796,0.7329660448554366,18877021.717592593,0.8375428309601006
57.0,24750431.42640187,0.7383368531715084,19973331.958333332,0.8012801049165381
58.0,24605956.984228972,0.7529915913974552,19848487.990740743,0.8152364384024183
59.0,24510318.47546729,0.7492979717215359,18617926.12962963,0.777276972551518
60.0,24418806.830023363,0.7342744196222133,21404926.490740743,0.7771106829709078
61.0,24799683.233060747,0.7493186539490134,20225276.555555556,0.7928914749283694
62.0,24892492.68253505,0.7593860625646134,19395869.25,0.7827203319037154
63.0,25267478.40040888,0.7343410495033057,20435904.375,0.815827691416341
64.0,25234248.705023363,0.7492848257831283,21327779.87037037,0.801195453533848
65.0,24300503.742406543,0.7654383736271143,21012842.703703705,0.7717822864152817
66.0,24945898.09871495,0.772563659595757,19114080.708333332,0.8226085880345615
67.0,25363593.37850467,0.720876115187927,19228439.26851852,0.7928050779401358
68.0,24685720.09579439,0.7271425879239086,19084088.23148148,0.8291358376847404
69.0,24062648.03563084,0.7393914678514786,20544411.967592593,0.7936098395758747
70.0,24354740.786799066,0.7533254480253083,19938376.833333332,0.7991672348405521
71.0,24997445.71816589,0.7520903741621284,19330660.51851852,0.7991037222847069
72.0,24495770.641355142,0.7505173244028256,20064019.824074075,0.8366649374879414
73.0,24826624.23130841,0.7544035629082696,19353121.37037037,0.7801992200300676
74.0,24887813.19042056,0.7478266151817798,19091846.60185185,0.7696272707735978
75.0,24009466.37792056,0.7573516397499344,19848994.962962963,0.7755488336190329
76.0,25299200.587616824,0.7480114531652801,19582376.699074075,0.7610618824626082
77.0,24863034.608060747,0.7494538615799734,19405663.888888888,0.8300767806428995
78.0,25020325.08878505,0.746537859232255,24261091.75462963,0.80485282300607
79.0,24861694.765478972,0.7709571471532751,19720574.87037037,0.8284935732514724
80.0,24753438.509345796,0.7428447397674387,19131361.805555556,0.8016820367580733
81.0,24529800.914719626,0.7369690212352983,21197279.796296295,0.8238594273468594
82.0,25407247.995765187,0.7419801104776375,23086694.62962963,0.6979441865065688
83.0,24333776.705607478,0.7317195413540821,22253098.814814813,0.7456023213084437
84.0,25296607.87733645,0.722266195677032,20246652.425925925,0.7803871076081049
85.0,24103277.384345796,0.746394280692318,20110175.861111112,0.7614821161226553
86.0,24574071.025700934,0.7436811121182811,20228673.990740743,0.8023633708725022
87.0,23636091.664719626,0.7298937495477913,19778691.962962963,0.801858690482497
88.0,24105490.487149533,0.7656721708009875,19593995.074074075,0.7679928248468884
89.0,24149307.806366824,0.7491760638450802,23091390.5,0.7267720985721164
90.0,24886722.930490654,0.7319267563583384,20334114.888888888,0.7457075971121166
91.0,24043962.917640187,0.7572465132832069,19932138.527777776,0.8130449188399197
92.0,24732221.417056076,0.7438189859653999,21472974.21412037,0.75623127572123
93.0,24419360.094042055,0.7487691347268375,19057300.152777776,0.8106081155769668
94.0,23846028.170560747,0.761982964922838,19144734.574074075,0.8004593523254636
95.0,24400953.759929907,0.760962754973219,19908813.814814813,0.7498417229358395
96.0,24077429.73130841,0.744032849867761,20403863.805555556,0.7538445652935697
97.0,24027997.887850467,0.7449635614835771,20321963.046296295,0.8309152830076969
98.0,24510391.328855142,0.7400981584179791,19261777.180555556,0.8149131780763326
99.0,24745289.59871495,0.745112304446622,23613354.80787037,0.7893916906276516
100.0,23985057.05724299,0.7562734951737886,20008265.634259257,0.7817840455990271
101.0,24522309.422313083,0.7515573724794474,19696676.342592593,0.7802605445497851
102.0,23310680.375,0.7456431223731954,19381714.907407407,0.8285572551488357
